benign,level,measure,auc
benign,turn0,refusal_proj,0.3464516129032258
benign,turn0,harm_proj,0.9536559139784946
benign,turn0,gap,0.8667741935483871
benign,turn0,n_tokens,0.5652688172043011
benign,turn0,h_norm,0.5625806451612904
benign,turn0,nll,0.3424731182795699
benign,turn1,refusal_proj,0.436989247311828
benign,turn1,harm_proj,0.980752688172043
benign,turn1,gap,0.8833333333333333
benign,turn1,n_tokens,0.6523655913978494
benign,turn1,h_norm,0.582258064516129
benign,turn1,nll,0.5725806451612904
benign,turn2,refusal_proj,0.3913659793814433
benign,turn2,harm_proj,0.9787371134020618
benign,turn2,gap,0.9001288659793815
benign,turn2,n_tokens,0.6396907216494845
benign,turn2,h_norm,0.44587628865979384
benign,turn2,nll,0.5930412371134021
benign,turn3,refusal_proj,0.2646031746031746
benign,turn3,harm_proj,0.9238095238095239
benign,turn3,gap,0.8779365079365079
benign,turn3,n_tokens,0.6443650793650794
benign,turn3,h_norm,0.36142857142857143
benign,turn3,nll,0.5798412698412698
benign,turn4,refusal_proj,
benign,turn4,harm_proj,
benign,turn4,gap,
benign,turn4,n_tokens,
benign,turn4,h_norm,
benign,turn4,nll,
benign,conversation,refusal_proj,0.28763440860215056
benign,conversation,harm_proj,0.9893548387096774
benign,conversation,gap,0.933010752688172
benign,conversation,n_tokens,0.7588709677419355
benign,conversation,h_norm,0.4687096774193548
benign,conversation,nll,0.3735483870967742
benign_real,turn0,refusal_proj,0.4118279569892473
benign_real,turn0,harm_proj,0.785
benign_real,turn0,gap,0.7416666666666667
benign_real,turn0,n_tokens,0.4237365591397849
benign_real,turn0,h_norm,0.5164516129032258
benign_real,turn0,nll,0.6369354838709678
benign_real,turn1,refusal_proj,0.34844086021505377
benign_real,turn1,harm_proj,0.871505376344086
benign_real,turn1,gap,0.8340860215053764
benign_real,turn1,n_tokens,0.49083333333333334
benign_real,turn1,h_norm,0.2399462365591398
benign_real,turn1,nll,0.7619892473118279
benign_real,turn2,refusal_proj,0.29622547389424675
benign_real,turn2,harm_proj,0.9295809777186564
benign_real,turn2,gap,0.8998170934486199
benign_real,turn2,n_tokens,0.5095194546059195
benign_real,turn2,h_norm,0.2846691054206851
benign_real,turn2,nll,0.8253242434319921
benign_real,turn3,refusal_proj,0.3107769423558897
benign_real,turn3,harm_proj,0.977610693400167
benign_real,turn3,gap,0.92046783625731
benign_real,turn3,n_tokens,0.564828738512949
benign_real,turn3,h_norm,0.36274018379281536
benign_real,turn3,nll,0.9039264828738512
benign_real,turn4,refusal_proj,0.2752057613168724
benign_real,turn4,harm_proj,0.9737654320987654
benign_real,turn4,gap,0.9429012345679012
benign_real,turn4,n_tokens,0.6072530864197531
benign_real,turn4,h_norm,0.48148148148148145
benign_real,turn4,nll,0.9182098765432098
benign_real,turn5,refusal_proj,0.23834196891191708
benign_real,turn5,harm_proj,0.9792746113989638
benign_real,turn5,gap,0.9474463360473723
benign_real,turn5,n_tokens,0.5540340488527017
benign_real,turn5,h_norm,0.5684678016284234
benign_real,turn5,nll,0.8882309400444115
benign_real,conversation,refusal_proj,0.28935483870967743
benign_real,conversation,harm_proj,0.9199462365591398
benign_real,conversation,gap,0.8865591397849463
benign_real,conversation,n_tokens,0.6185752688172043
benign_real,conversation,h_norm,0.31951612903225807
benign_real,conversation,nll,0.7133333333333334
