task,turn,harm,tfidf_prefix,delta_sep,n_pos,n_neg
attack_success vs benign_real,0,0.785,0.9513978494623656,-0.16639784946236558,465,40
attack_success vs benign_real,1,0.871505376344086,0.9588709677419355,-0.0873655913978495,465,40
attack_success vs benign_real,2,0.9295809777186564,0.9935151313601596,-0.06393415364150312,388,31
attack_success vs benign_real,3,0.977610693400167,0.9883040935672515,-0.010693400167084421,315,19
attack_success vs benign_real,4,0.9737654320987654,0.9660493827160495,0.007716049382715973,243,8
attack_success vs benign_real,5,0.9792746113989638,0.9888971132494448,-0.00962250185048108,193,7
attack_success vs benign,0,0.9536559139784946,0.9243010752688171,0.029354838709677478,465,20
attack_success vs benign,1,0.980752688172043,0.9907526881720431,-0.01000000000000012,465,20
attack_success vs benign,2,0.9787371134020618,0.996520618556701,-0.017783505154639223,388,20
attack_success vs benign,3,0.9238095238095239,0.9995238095238095,-0.07571428571428562,315,20
attack_success vs attack_fail,0,0.540270551508845,0.5986819285466528,-0.058411377037807855,465,31
attack_success vs attack_fail,1,0.46618106139438087,0.6579604578563997,-0.12414151925078054,465,31
attack_success vs attack_fail,2,0.43455449189985274,0.6223766568483063,-0.05693114874815908,388,28
attack_success vs attack_fail,3,0.38881987577639754,0.6668046928916493,-0.05562456866804688,315,23
attack_success vs attack_fail,4,0.31275720164609055,0.5666908738804164,0.12055192447349306,243,17
attack_success vs attack_fail,5,0.18772419290554004,0.6042247907532882,0.2080510163411718,193,13
