benign,level,measure,auc
benign,turn0,refusal_proj,0.34207317073170734
benign,turn0,harm_proj,0.9457317073170731
benign,turn0,gap,0.8530487804878049
benign,turn0,n_tokens,0.4948170731707317
benign,turn0,h_norm,0.6280487804878049
benign,turn0,nll,0.40853658536585363
benign,turn1,refusal_proj,0.5024390243902439
benign,turn1,harm_proj,0.9859756097560975
benign,turn1,gap,0.9
benign,turn1,n_tokens,0.41036585365853656
benign,turn1,h_norm,0.6384146341463415
benign,turn1,nll,0.6469512195121951
benign,turn2,refusal_proj,0.37916666666666665
benign,turn2,harm_proj,0.9243055555555556
benign,turn2,gap,0.8895833333333333
benign,turn2,n_tokens,0.434375
benign,turn2,h_norm,0.5125
benign,turn2,nll,0.6055555555555555
benign,turn3,refusal_proj,0.25573770491803277
benign,turn3,harm_proj,0.9032786885245901
benign,turn3,gap,0.8811475409836066
benign,turn3,n_tokens,0.4471311475409836
benign,turn3,h_norm,0.5024590163934426
benign,turn3,nll,0.5131147540983606
benign,turn4,refusal_proj,
benign,turn4,harm_proj,
benign,turn4,gap,
benign,turn4,n_tokens,
benign,turn4,h_norm,
benign,turn4,nll,
benign,conversation,refusal_proj,0.3310975609756098
benign,conversation,harm_proj,0.9719512195121951
benign,conversation,gap,0.9146341463414634
benign,conversation,n_tokens,0.5652439024390243
benign,conversation,h_norm,0.5426829268292683
benign,conversation,nll,0.4420731707317073
benign_real,turn0,refusal_proj,0.4073170731707317
benign_real,turn0,harm_proj,0.7829268292682927
benign_real,turn0,gap,0.7326219512195122
benign_real,turn0,n_tokens,0.29878048780487804
benign_real,turn0,h_norm,0.5658536585365853
benign_real,turn0,nll,0.7643292682926829
benign_real,turn1,refusal_proj,0.39878048780487807
benign_real,turn1,harm_proj,0.8545731707317074
benign_real,turn1,gap,0.8423780487804878
benign_real,turn1,n_tokens,0.2791158536585366
benign_real,turn1,h_norm,0.2682926829268293
benign_real,turn1,nll,0.7347560975609756
benign_real,turn2,refusal_proj,0.29659498207885304
benign_real,turn2,harm_proj,0.8870967741935484
benign_real,turn2,gap,0.8902329749103942
benign_real,turn2,n_tokens,0.34408602150537637
benign_real,turn2,h_norm,0.3378136200716846
benign_real,turn2,nll,0.7553763440860215
benign_real,turn3,refusal_proj,0.3088869715271786
benign_real,turn3,harm_proj,0.9542709232096636
benign_real,turn3,gap,0.9163071613459879
benign_real,turn3,n_tokens,0.4214840379637619
benign_real,turn3,h_norm,0.4702329594477998
benign_real,turn3,nll,0.8032786885245902
benign_real,turn4,refusal_proj,0.2786458333333333
benign_real,turn4,harm_proj,0.9453125
benign_real,turn4,gap,0.9140625
benign_real,turn4,n_tokens,0.4609375
benign_real,turn4,h_norm,0.578125
benign_real,turn4,nll,0.7760416666666666
benign_real,turn5,refusal_proj,0.2714285714285714
benign_real,turn5,harm_proj,0.9178571428571428
benign_real,turn5,gap,0.8928571428571429
benign_real,turn5,n_tokens,0.4035714285714286
benign_real,turn5,h_norm,0.5571428571428572
benign_real,turn5,nll,0.7535714285714286
benign_real,conversation,refusal_proj,0.3198170731707317
benign_real,conversation,harm_proj,0.8929878048780487
benign_real,conversation,gap,0.8704268292682927
benign_real,conversation,n_tokens,0.4996951219512195
benign_real,conversation,h_norm,0.38384146341463415
benign_real,conversation,nll,0.6908536585365853
benign_matched,turn0,refusal_proj,0.26544187519797274
benign_matched,turn0,harm_proj,0.6257522964840038
benign_matched,turn0,gap,0.748178650617675
benign_matched,turn0,n_tokens,0.48756731073804244
benign_matched,turn0,h_norm,0.4960405448210326
benign_matched,turn0,nll,0.5525815647766867
benign_matched,turn1,refusal_proj,0.4155844155844156
benign_matched,turn1,harm_proj,0.6590117199873298
benign_matched,turn1,gap,0.6753246753246753
benign_matched,turn1,n_tokens,0.45003167564143176
benign_matched,turn1,h_norm,0.7047830218561926
benign_matched,turn1,nll,0.6184668989547039
benign_matched,turn2,refusal_proj,0.3478732638888889
benign_matched,turn2,harm_proj,0.8517795138888888
benign_matched,turn2,gap,0.818359375
benign_matched,turn2,n_tokens,0.4977213541666667
benign_matched,turn2,h_norm,0.6473524305555556
benign_matched,turn2,nll,0.6373697916666666
benign_matched,turn3,refusal_proj,0.36985907391429396
benign_matched,turn3,harm_proj,0.8584987057808455
benign_matched,turn3,gap,0.7863100373885533
benign_matched,turn3,n_tokens,0.4920908829450676
benign_matched,turn3,h_norm,0.6755823986194995
benign_matched,turn3,nll,0.6465343687086569
benign_matched,turn4,refusal_proj,0.4115740740740741
benign_matched,turn4,harm_proj,0.8930555555555556
benign_matched,turn4,gap,0.8398148148148148
benign_matched,turn4,n_tokens,0.5340277777777778
benign_matched,turn4,h_norm,0.6625
benign_matched,turn4,nll,0.6268518518518519
benign_matched,turn5,refusal_proj,0.3736111111111111
benign_matched,turn5,harm_proj,0.8347222222222223
benign_matched,turn5,gap,0.8
benign_matched,turn5,n_tokens,0.5236111111111111
benign_matched,turn5,h_norm,0.5944444444444444
benign_matched,turn5,nll,0.6333333333333333
benign_matched,conversation,refusal_proj,0.32499208108964206
benign_matched,conversation,harm_proj,0.8432055749128919
benign_matched,conversation,gap,0.8254672157111181
benign_matched,conversation,n_tokens,0.5091859360152043
benign_matched,conversation,h_norm,0.6560025340513146
benign_matched,conversation,nll,0.6114982578397212
