task,turn,harm,tfidf_prefix,delta_sep,n_pos,n_neg
attack_success vs benign_real,0,0.7829268292682927,0.9527439024390243,-0.16981707317073158,82,40
attack_success vs benign_real,1,0.8545731707317074,0.9792682926829268,-0.12469512195121946,82,40
attack_success vs benign_real,2,0.8870967741935484,0.9986559139784946,-0.11155913978494625,72,31
attack_success vs benign_real,3,0.9542709232096636,0.999137187230371,-0.04486626402070748,61,19
attack_success vs benign_real,4,0.9453125,0.984375,-0.0390625,48,8
attack_success vs benign_real,5,0.9178571428571428,0.967857142857143,-0.050000000000000155,40,7
attack_success vs benign_matched,0,0.6257522964840038,0.9930313588850175,-0.3672790624010137,82,77
attack_success vs benign_matched,1,0.6590117199873298,0.9925562242635413,-0.3335445042762115,82,77
attack_success vs benign_matched,2,0.8517795138888888,0.9989149305555556,-0.14713541666666674,72,64
attack_success vs benign_matched,3,0.8584987057808455,0.9976991659476561,-0.13920046016681054,61,57
attack_success vs benign_matched,4,0.8930555555555556,0.9981481481481482,-0.10509259259259263,48,45
attack_success vs benign_matched,5,0.8347222222222223,0.9965277777777778,-0.16180555555555554,40,36
attack_success vs benign,0,0.9457317073170731,0.9707317073170731,-0.025000000000000022,82,20
attack_success vs benign,1,0.9859756097560975,0.9963414634146341,-0.010365853658536595,82,20
attack_success vs benign,2,0.9243055555555556,0.9993055555555556,-0.07499999999999996,72,20
attack_success vs benign,3,0.9032786885245901,1.0,-0.09672131147540985,61,20
attack_success vs attack_fail,0,0.6417682926829268,0.4039634146341463,0.0457317073170731,82,8
attack_success vs attack_fail,1,0.5365853658536586,0.3399390243902439,-0.1234756097560975,82,8
attack_success vs attack_fail,2,0.6567460317460317,0.29365079365079366,-0.049603174603174593,72,7
attack_success vs attack_fail,3,0.4426229508196721,0.2896174863387978,-0.15300546448087432,61,6
attack_success vs attack_fail,4,0.5166666666666667,0.5125,0.004166666666666763,48,5
